Ward_ID,Month,Historical_Rainfall_mm,Estimated_Rainy_Days,Rainfall_Category,Elevation_m,Groundwater_Table_Depth_m,Water_Body_Proximity,Impervious_Surface_Percent,Water_Surface_Percent,Seasonal_Green_Cover_Percent,Road_Density_Index_1to10,Drainage_Index_1to10,Storm_Drain_Coverage_Percent,Drain_Load_Utilization_Percent,Silt_Accumulation_Level,Reported_Road_Waterlogging_Incidents,Avg_Humidity_Percent,Heat_Index_C,Avg_Temperature_C,Estimated_Max_Temperature_C,Estimated_Min_Temperature_C,Forecast_Rainfall_mm,Forecast_Rainfall_Category,Flood_Risk_Level
1,2026-07,353.9,24,Very Wet,3,0.85,Yes (Hooghly-adjacent),87,3,12.0,6,4,42,97.0,Moderate,3,85.2,34.7,28.6,30.6,26.6,343.0,Very Wet,Major
1,2026-08,355.6,24,Very Wet,3,0.72,Yes (Hooghly-adjacent),87,3,12.5,6,4,42,97.3,Moderate,3,85.7,35.4,28.8,30.8,26.8,331.8,Very Wet,Major
2,2025-09,261.3,17,Wet,5,1.14,No,87,1,13.8,7,6,55,76.5,Moderate,1,80.6,33.1,28.3,31.3,25.3,257.4,Wet,Minor
2,2025-10,131.9,9,Moderate,5,1.33,No,87,1,12.6,7,6,55,53.5,Moderate,0,76.7,30.7,27.6,31.1,24.1,131.2,Moderate,No Risk
2,2025-11,24.5,2,Dry,5,1.61,No,87,1,10.8,7,6,55,34.4,High,0,68.1,23.1,23.0,27.0,19.0,27.5,Dry,No Risk
2,2025-12,5.2,0,Dry,5,1.9,No,87,1,9.0,7,6,55,30.9,High,0,58.2,18.3,18.8,23.3,14.3,5.3,Dry,No Risk
2,2026-01,12.8,1,Dry,5,2.18,No,87,1,8.4,7,6,55,32.3,High,0,57.0,20.5,20.9,25.4,16.4,13.2,Dry,No Risk
2,2026-02,23.3,2,Dry,5,2.38,No,87,1,9.0,7,6,55,34.1,Very High,0,55.9,23.0,23.2,27.2,19.2,25.0,Dry,No Risk
2,2026-03,34.2,2,Dry,5,2.56,No,87,1,9.6,7,6,55,36.1,Very High,0,57.3,26.8,26.6,30.1,23.1,36.8,Dry,No Risk
2,2026-04,42.0,3,Dry,5,2.56,No,87,1,10.2,7,6,55,37.5,Very High,0,65.0,34.2,30.2,33.7,26.7,43.0,Dry,No Risk
2,2026-05,110.7,7,Moderate,5,2.28,No,87,1,10.8,7,6,55,49.7,High,0,68.4,34.2,29.8,33.3,26.3,107.0,Moderate,No Risk
2,2026-06,304.2,20,Very Wet,5,1.71,No,87,1,12.6,7,6,55,84.2,Low,1,79.5,37.8,30.1,32.6,27.6,350.1,Very Wet,Minor
2,2026-07,298.2,20,Wet,5,1.23,No,87,1,14.4,7,6,55,83.1,Moderate,1,88.9,36.9,29.0,31.0,27.0,297.6,Wet,Minor
2,2026-08,332.9,22,Very Wet,5,1.04,No,87,1,15.0,7,6,55,89.3,Moderate,2,87.3,34.2,28.3,30.3,26.3,332.0,Very Wet,Moderate
3,2025-09,277.5,19,Wet,6,1.32,No,84,1,17.2,7,6,55,79.4,Moderate,1,80.2,37.2,29.8,32.8,26.8,257.3,Wet,Minor
3,2025-10,136.0,9,Moderate,6,1.54,No,84,1,15.8,7,6,55,54.2,Moderate,0,76.2,27.4,26.7,30.2,23.2,125.2,Moderate,No Risk
3,2025-11,21.4,1,Dry,6,1.87,No,84,1,13.5,7,6,55,33.8,High,0,65.9,22.4,22.4,26.4,18.4,21.6,Dry,No Risk
3,2025-12,5.4,0,Dry,6,2.2,No,84,1,11.2,7,6,55,31.0,High,0,59.6,18.3,18.8,23.3,14.3,5.0,Dry,No Risk
3,2026-01,13.0,1,Dry,6,2.53,No,84,1,10.5,7,6,55,32.3,High,0,58.4,18.5,19.0,23.5,14.5,14.3,Dry,No Risk
3,2026-02,24.7,2,Dry,6,2.75,No,84,1,11.2,7,6,55,34.4,Very High,0,58.0,22.0,22.2,26.2,18.2,22.3,Dry,No Risk
3,2026-03,34.0,2,Dry,6,2.97,No,84,1,12.0,7,6,55,36.1,Very High,0,58.5,26.8,26.6,30.1,23.1,34.9,Dry,No Risk
3,2026-04,43.4,3,Dry,6,2.97,No,84,1,12.8,7,6,55,37.7,Very High,0,62.6,34.0,30.3,33.8,26.8,49.8,Dry,No Risk
3,2026-05,112.2,7,Moderate,6,2.64,No,84,1,13.5,7,6,55,50.0,High,0,68.4,36.3,30.7,34.2,27.2,119.3,Moderate,No Risk
3,2026-06,299.8,20,Wet,6,1.98,No,84,1,15.8,7,6,55,83.4,Low,1,78.5,40.8,31.1,33.6,28.6,319.5,Very Wet,Minor
3,2026-07,314.2,21,Very Wet,6,1.43,No,84,1,18.0,7,6,55,85.9,Moderate,1,84.7,35.7,29.0,31.0,27.0,293.7,Wet,Minor
3,2026-08,338.1,23,Very Wet,6,1.21,No,84,1,18.8,7,6,55,90.2,Moderate,2,84.5,38.5,29.9,31.9,27.9,338.4,Very Wet,Moderate
4,2025-09,287.5,19,Wet,3,0.78,Yes (East Kolkata Wetlands),81,5,16.1,5,3,35,87.2,Moderate,2,84.0,33.7,28.4,31.4,25.4,267.8,Wet,Moderate
4,2025-10,131.0,9,Moderate,3,0.91,Yes (East Kolkata Wetlands),81,5,14.7,5,3,35,59.3,Moderate,0,74.3,29.1,27.0,30.5,23.5,136.0,Moderate,No Risk
4,2025-11,24.1,2,Dry,3,1.1,Yes (East Kolkata Wetlands),81,5,12.6,5,3,35,40.3,High,0,62.5,23.1,23.1,27.1,19.1,25.7,Dry,No Risk
4,2025-12,5.3,0,Dry,3,1.3,Yes (East Kolkata Wetlands),81,5,10.5,5,3,35,36.9,High,0,58.1,18.6,19.1,23.6,14.6,4.9,Dry,No Risk
4,2026-01,13.7,1,Dry,3,1.49,Yes (East Kolkata Wetlands),81,5,9.8,5,3,35,38.4,High,0,60.1,20.3,20.6,25.1,16.1,14.3,Dry,No Risk
4,2026-02,23.3,2,Dry,3,1.62,Yes (East Kolkata Wetlands),81,5,10.5,5,3,35,40.2,Very High,2,58.0,23.2,23.3,27.3,19.3,24.3,Dry,Moderate
4,2026-03,36.2,2,Dry,3,1.76,Yes (East Kolkata Wetlands),81,5,11.2,5,3,35,42.4,Very High,0,59.3,28.8,27.6,31.1,24.1,39.5,Dry,No Risk
4,2026-04,49.5,3,Dry,3,1.76,Yes (East Kolkata Wetlands),81,5,11.9,5,3,35,44.8,Very High,0,64.0,33.4,29.9,33.4,26.4,46.5,Dry,No Risk
4,2026-05,141.9,9,Moderate,3,1.56,Yes (East Kolkata Wetlands),81,5,12.6,5,3,35,61.3,High,0,66.8,35.2,30.4,33.9,26.9,120.7,Moderate,No Risk
4,2026-06,325.9,22,Very Wet,3,1.17,Yes (East Kolkata Wetlands),81,5,14.7,5,3,35,94.0,Low,3,77.6,35.2,29.4,31.9,26.9,327.6,Very Wet,Major
4,2026-07,331.9,22,Very Wet,3,0.85,Yes (East Kolkata Wetlands),81,5,16.8,5,3,35,95.1,Moderate,4,82.7,35.4,29.0,31.0,27.0,337.6,Very Wet,Major
4,2026-08,349.6,23,Very Wet,3,0.72,Yes (East Kolkata Wetlands),81,5,17.5,5,3,35,98.2,Moderate,4,83.7,35.9,29.1,31.1,27.1,293.0,Wet,Major
5,2025-09,267.7,18,Wet,2,0.6,Yes (East Kolkata Wetlands),82,5,14.9,5,3,33,83.7,Moderate,2,84.7,36.8,29.3,32.3,26.3,265.3,Wet,Moderate
5,2025-10,124.9,8,Moderate,2,0.7,Yes (East Kolkata Wetlands),82,5,13.7,5,3,33,58.2,Moderate,0,79.5,27.4,26.6,30.1,23.1,120.2,Moderate,No Risk
5,2025-11,23.2,2,Dry,2,0.85,Yes (East Kolkata Wetlands),82,5,11.7,5,3,33,40.1,High,0,67.1,24.5,24.3,28.3,20.3,24.9,Dry,No Risk
5,2025-12,5.1,0,Dry,2,1.0,Yes (East Kolkata Wetlands),82,5,9.8,5,3,33,36.9,High,0,58.9,18.0,18.6,23.1,14.1,5.6,Dry,No Risk
5,2026-01,12.8,1,Dry,2,1.15,Yes (East Kolkata Wetlands),82,5,9.1,5,3,33,38.3,High,0,56.0,17.4,18.1,22.6,13.6,12.8,Dry,No Risk
5,2026-02,23.2,2,Dry,2,1.25,Yes (East Kolkata Wetlands),82,5,9.8,5,3,33,40.1,Very High,0,56.1,21.9,22.1,26.1,18.1,26.2,Dry,No Risk
5,2026-03,38.6,3,Dry,2,1.35,Yes (East Kolkata Wetlands),82,5,10.4,5,3,33,42.9,Very High,0,58.0,28.8,27.7,31.2,24.2,34.2,Dry,No Risk
5,2026-04,49.4,3,Dry,2,1.35,Yes (East Kolkata Wetlands),82,5,11.0,5,3,33,44.8,Very High,0,65.1,33.1,29.6,33.1,26.1,50.2,Moderate,No Risk
5,2026-05,127.3,8,Moderate,2,1.2,Yes (East Kolkata Wetlands),82,5,11.7,5,3,33,58.7,High,1,67.5,36.7,31.0,34.5,27.5,134.0,Moderate,Minor
5,2026-06,274.0,18,Wet,2,0.9,Yes (East Kolkata Wetlands),82,5,13.7,5,3,33,84.8,Low,2,79.6,38.6,30.4,32.9,27.9,270.7,Wet,Moderate
5,2026-07,347.8,23,Very Wet,2,0.65,Yes (East Kolkata Wetlands),82,5,15.6,5,3,33,97.9,Moderate,4,85.7,34.9,28.6,30.6,26.6,334.1,Very Wet,Major
5,2026-08,327.5,22,Very Wet,2,0.55,Yes (East Kolkata Wetlands),82,5,16.2,5,3,33,94.3,Moderate,4,86.6,36.9,29.2,31.2,27.2,351.1,Very Wet,Major
6,2025-09,263.3,18,Wet,3,0.78,Yes (canal),86,4,11.5,6,4,40,80.9,Moderate,2,84.2,37.1,29.4,32.4,26.4,251.5,Wet,Moderate
6,2025-10,126.5,8,Moderate,3,0.91,Yes (canal),86,4,10.5,6,4,40,56.5,Moderate,0,77.1,27.4,26.6,30.1,23.1,139.5,Moderate,No Risk
6,2025-11,24.4,2,Dry,3,1.1,Yes (canal),86,4,9.0,6,4,40,38.3,High,1,66.6,23.6,23.5,27.5,19.5,26.5,Dry,Minor
6,2025-12,5.2,0,Dry,3,1.3,Yes (canal),86,4,7.5,6,4,40,34.9,High,0,58.6,18.3,18.8,23.3,14.3,5.4,Dry,No Risk
6,2026-01,13.5,1,Dry,3,1.49,Yes (canal),86,4,7.0,6,4,40,36.4,High,0,62.2,19.1,19.5,24.0,15.0,14.1,Dry,No Risk
6,2026-02,22.9,2,Dry,3,1.62,Yes (canal),86,4,7.5,6,4,40,38.1,Very High,0,58.2,23.4,23.5,27.5,19.5,25.0,Dry,No Risk
6,2026-03,35.0,2,Dry,3,1.76,Yes (canal),86,4,8.0,6,4,40,40.2,Very High,0,56.6,27.9,27.0,30.5,23.5,32.5,Dry,No Risk
6,2026-04,47.0,3,Dry,3,1.76,Yes (canal),86,4,8.5,6,4,40,42.4,Very High,0,65.8,33.6,29.8,33.3,26.3,43.9,Dry,No Risk
6,2026-05,118.5,8,Moderate,3,1.56,Yes (canal),86,4,9.0,6,4,40,55.1,High,0,69.0,35.1,30.1,33.6,26.6,120.8,Moderate,No Risk
6,2026-06,310.2,21,Very Wet,3,1.17,Yes (canal),86,4,10.5,6,4,40,89.2,Low,2,77.6,34.6,29.2,31.7,26.7,274.2,Wet,Moderate
6,2026-07,353.6,24,Very Wet,3,0.85,Yes (canal),86,4,12.0,6,4,40,97.0,Moderate,3,83.7,37.2,29.5,31.5,27.5,395.3,Very Wet,Major
6,2026-08,316.6,21,Very Wet,3,0.72,Yes (canal),86,4,12.5,6,4,40,90.4,Moderate,2,85.6,35.5,28.8,30.8,26.8,316.1,Very Wet,Moderate
7,2025-09,277.4,18,Wet,5,1.14,No,94,0,6.9,7,5,50,81.4,Moderate,2,83.8,35.4,28.9,31.9,25.9,311.4,Very Wet,Moderate
7,2025-10,119.1,8,Moderate,5,1.33,No,94,0,6.3,7,5,50,53.2,Moderate,0,76.2,29.4,27.0,30.5,23.5,121.2,Moderate,No Risk
7,2025-11,24.0,2,Dry,5,1.61,No,94,0,5.4,7,5,50,36.3,High,1,66.9,24.1,23.9,27.9,19.9,25.0,Dry,Minor
7,2025-12,4.8,0,Dry,5,1.9,No,94,0,4.5,7,5,50,32.8,High,0,62.4,18.7,19.1,23.6,14.6,5.1,Dry,No Risk
7,2026-01,12.3,1,Dry,5,2.18,No,94,0,4.2,7,5,50,34.2,High,0,56.9,18.1,18.7,23.2,14.2,11.8,Dry,No Risk
7,2026-02,24.2,2,Dry,5,2.38,No,94,0,4.5,7,5,50,36.3,Very High,0,58.9,24.1,24.1,28.1,20.1,24.9,Dry,No Risk
7,2026-03,32.2,2,Dry,5,2.56,No,94,0,4.8,7,5,50,37.7,Very High,0,61.7,26.5,26.2,29.7,22.7,33.4,Dry,No Risk
7,2026-04,44.7,3,Dry,5,2.56,No,94,0,5.1,7,5,50,40.0,Very High,0,64.8,35.7,30.8,34.3,27.3,38.6,Dry,No Risk
7,2026-05,109.4,7,Moderate,5,2.28,No,94,0,5.4,7,5,50,51.5,High,0,70.1,35.1,30.0,33.5,26.5,104.2,Moderate,No Risk
7,2026-06,308.1,21,Very Wet,5,1.71,No,94,0,6.3,7,5,50,86.9,Low,2,79.2,37.2,29.9,32.4,27.4,281.8,Wet,Moderate
7,2026-07,351.4,23,Very Wet,5,1.23,No,94,0,7.2,7,5,50,94.6,Moderate,2,86.6,33.4,28.1,30.1,26.1,319.8,Very Wet,Moderate
7,2026-08,312.3,21,Very Wet,5,1.04,No,94,0,7.5,7,5,50,87.6,Moderate,2,87.4,36.7,29.1,31.1,27.1,351.1,Very Wet,Moderate
8,2025-09,306.8,20,Very Wet,4,0.96,Yes (Hooghly-adjacent),93,2,5.8,8,5,52,86.6,Moderate,2,84.9,35.4,28.9,31.9,25.9,349.9,Very Wet,Moderate
8,2025-10,134.0,9,Moderate,4,1.12,Yes (Hooghly-adjacent),93,2,5.2,8,5,52,55.9,Moderate,0,78.1,30.5,27.4,30.9,23.9,123.7,Moderate,No Risk
8,2025-11,22.6,2,Dry,4,1.36,Yes (Hooghly-adjacent),93,2,4.5,8,5,52,36.0,High,1,66.4,22.9,22.8,26.8,18.8,18.9,Dry,Minor
8,2025-12,5.1,0,Dry,4,1.6,Yes (Hooghly-adjacent),93,2,3.8,8,5,52,32.9,High,0,54.6,17.5,18.2,22.7,13.7,5.8,Dry,No Risk
8,2026-01,13.5,1,Dry,4,1.84,Yes (Hooghly-adjacent),93,2,3.5,8,5,52,34.4,High,0,57.8,18.2,18.8,23.3,14.3,13.5,Dry,No Risk
8,2026-02,25.3,2,Dry,4,2.0,Yes (Hooghly-adjacent),93,2,3.8,8,5,52,36.5,Very High,0,56.0,22.2,22.4,26.4,18.4,26.1,Dry,No Risk
8,2026-03,34.4,2,Dry,4,2.16,Yes (Hooghly-adjacent),93,2,4.0,8,5,52,38.1,Very High,0,59.0,26.6,26.4,29.9,22.9,37.0,Dry,No Risk
8,2026-04,44.5,3,Dry,4,2.16,Yes (Hooghly-adjacent),93,2,4.2,8,5,52,39.9,Very High,0,63.9,32.4,29.4,32.9,25.9,44.1,Dry,No Risk
8,2026-05,137.3,9,Moderate,4,1.92,Yes (Hooghly-adjacent),93,2,4.5,8,5,52,56.4,High,0,70.4,34.1,29.6,33.1,26.1,137.7,Moderate,No Risk
8,2026-06,297.5,20,Wet,4,1.44,Yes (Hooghly-adjacent),93,2,5.2,8,5,52,85.0,Low,1,77.9,38.5,30.5,33.0,28.0,312.1,Very Wet,Minor
8,2026-07,336.4,22,Very Wet,4,1.04,Yes (Hooghly-adjacent),93,2,6.0,8,5,52,91.9,Moderate,3,86.7,33.5,28.1,30.1,26.1,274.5,Wet,Major
8,2026-08,326.9,22,Very Wet,4,0.88,Yes (Hooghly-adjacent),93,2,6.2,8,5,52,90.2,Moderate,2,91.2,38.0,29.2,31.2,27.2,342.0,Very Wet,Moderate
9,2025-09,270.9,18,Wet,4,0.96,Yes (Hooghly-adjacent),88,3,10.3,6,4,45,82.2,Moderate,1,83.4,32.7,28.0,31.0,25.0,250.2,Wet,Minor
9,2025-10,113.3,8,Moderate,4,1.12,Yes (Hooghly-adjacent),88,3,9.5,6,4,45,54.2,Moderate,0,79.4,27.1,26.4,29.9,22.9,107.4,Moderate,No Risk
9,2025-11,24.3,2,Dry,4,1.36,Yes (Hooghly-adjacent),88,3,8.1,6,4,45,38.3,High,1,63.3,23.1,23.0,27.0,19.0,27.2,Dry,Minor
9,2025-12,5.2,0,Dry,4,1.6,Yes (Hooghly-adjacent),88,3,6.8,6,4,45,34.9,High,0,56.2,18.3,18.9,23.4,14.4,4.8,Dry,No Risk
9,2026-01,13.9,1,Dry,4,1.84,Yes (Hooghly-adjacent),88,3,6.3,6,4,45,36.5,High,0,59.1,18.7,19.2,23.7,14.7,16.1,Dry,No Risk
9,2026-02,23.6,2,Dry,4,2.0,Yes (Hooghly-adjacent),88,3,6.8,6,4,45,38.2,Very High,0,57.1,22.3,22.5,26.5,18.5,22.5,Dry,No Risk
9,2026-03,35.1,2,Dry,4,2.16,Yes (Hooghly-adjacent),88,3,7.2,6,4,45,40.2,Very High,0,56.2,27.7,26.9,30.4,23.4,34.9,Dry,No Risk
9,2026-04,48.8,3,Dry,4,2.16,Yes (Hooghly-adjacent),88,3,7.6,6,4,45,42.7,Very High,0,65.2,32.7,29.4,32.9,25.9,50.8,Moderate,No Risk
9,2026-05,110.5,7,Moderate,4,1.92,Yes (Hooghly-adjacent),88,3,8.1,6,4,45,53.7,High,0,71.1,34.3,29.6,33.1,26.1,115.3,Moderate,No Risk
9,2026-06,268.8,18,Wet,4,1.44,Yes (Hooghly-adjacent),88,3,9.5,6,4,45,81.9,Low,1,79.5,37.6,30.0,32.5,27.5,233.8,Wet,Minor
9,2026-07,355.2,24,Very Wet,4,1.04,Yes (Hooghly-adjacent),88,3,10.8,6,4,45,97.2,Moderate,2,81.6,35.0,29.0,31.0,27.0,308.0,Very Wet,Moderate
9,2026-08,332.8,22,Very Wet,4,0.88,Yes (Hooghly-adjacent),88,3,11.2,6,4,45,93.3,Moderate,2,87.0,35.6,28.8,30.8,26.8,309.9,Very Wet,Moderate
10,2025-09,278.3,19,Wet,6,1.32,No,94,0,6.9,6,5,50,81.5,Moderate,0,85.9,37.1,29.3,32.3,26.3,253.1,Wet,No Risk
10,2025-10,114.4,8,Moderate,6,1.54,No,94,0,6.3,6,5,50,52.4,Moderate,0,76.7,29.2,26.9,30.4,23.4,119.7,Moderate,No Risk
10,2025-11,23.8,2,Dry,6,1.87,No,94,0,5.4,6,5,50,36.2,High,0,65.5,23.8,23.7,27.7,19.7,23.5,Dry,No Risk
10,2025-12,4.8,0,Dry,6,2.2,No,94,0,4.5,6,5,50,32.9,High,0,58.8,18.2,18.7,23.2,14.2,4.6,Dry,No Risk
10,2026-01,13.0,1,Dry,6,2.53,No,94,0,4.2,6,5,50,34.3,High,0,57.3,20.1,20.5,25.0,16.0,15.2,Dry,No Risk
10,2026-02,23.1,2,Dry,6,2.75,No,94,0,4.5,6,5,50,36.1,Very High,0,53.3,22.1,22.4,26.4,18.4,19.3,Dry,No Risk
10,2026-03,33.5,2,Dry,6,2.97,No,94,0,4.8,6,5,50,38.0,Very High,0,57.6,28.1,27.2,30.7,23.7,38.0,Dry,No Risk
10,2026-04,39.3,3,Dry,6,2.97,No,94,0,5.1,6,5,50,39.0,Very High,0,62.0,34.2,30.5,34.0,27.0,40.0,Dry,No Risk
10,2026-05,121.6,8,Moderate,6,2.64,No,94,0,5.4,6,5,50,53.7,High,0,74.5,37.2,30.4,33.9,26.9,117.6,Moderate,No Risk
10,2026-06,296.9,20,Wet,6,1.98,No,94,0,6.3,6,5,50,84.9,Low,1,80.7,36.3,29.5,32.0,27.0,286.0,Wet,Minor
10,2026-07,333.4,22,Very Wet,6,1.43,No,94,0,7.2,6,5,50,91.4,Moderate,2,84.7,36.7,29.3,31.3,27.3,320.6,Very Wet,Moderate
10,2026-08,312.2,21,Very Wet,6,1.21,No,94,0,7.5,6,5,50,87.6,Moderate,1,84.1,33.9,28.4,30.4,26.4,305.5,Very Wet,Minor
11,2025-09,272.8,18,Wet,7,1.5,No,84,1,17.2,6,6,58,78.6,Moderate,1,85.7,37.7,29.5,32.5,26.5,252.7,Wet,Minor
11,2025-10,131.7,9,Moderate,7,1.75,No,84,1,15.8,6,6,58,53.4,Moderate,1,72.4,26.8,26.3,29.8,22.8,123.5,Moderate,Minor
11,2025-11,24.2,2,Dry,7,2.12,No,84,1,13.5,6,6,58,34.3,High,1,62.7,23.2,23.2,27.2,19.2,24.1,Dry,Minor
11,2025-12,4.9,0,Dry,7,2.5,No,84,1,11.2,6,6,58,30.9,High,0,59.0,19.0,19.4,23.9,14.9,4.9,Dry,No Risk
11,2026-01,12.0,1,Dry,7,2.88,No,84,1,10.5,6,6,58,32.1,High,1,60.7,20.9,21.1,25.6,16.6,12.5,Dry,Minor
11,2026-02,22.6,2,Dry,7,3.12,No,84,1,11.2,6,6,58,34.0,Very High,0,57.1,22.8,22.9,26.9,18.9,20.8,Dry,No Risk
11,2026-03,29.6,2,Dry,7,3.38,No,84,1,12.0,6,6,58,35.3,Very High,0,57.1,27.8,26.9,30.4,23.4,33.3,Dry,No Risk
11,2026-04,40.2,3,Dry,7,3.38,No,84,1,12.8,6,6,58,37.2,Very High,0,62.4,33.4,30.0,33.5,26.5,42.8,Dry,No Risk
11,2026-05,115.0,8,Moderate,7,3.0,No,84,1,13.5,6,6,58,50.5,High,0,67.0,34.0,29.8,33.3,26.3,130.4,Moderate,No Risk
11,2026-06,283.4,19,Wet,7,2.25,No,84,1,15.8,6,6,58,80.5,Low,1,78.5,37.2,30.0,32.5,27.5,222.2,Wet,Minor
11,2026-07,363.2,24,Very Wet,7,1.62,No,84,1,18.0,6,6,58,94.7,Moderate,2,81.8,34.7,28.8,30.8,26.8,395.9,Very Wet,Moderate
11,2026-08,318.3,21,Very Wet,7,1.38,No,84,1,18.8,6,6,58,86.7,Moderate,1,85.4,35.9,29.0,31.0,27.0,318.7,Very Wet,Minor
12,2025-09,259.7,17,Wet,5,1.14,No,79,1,23.0,9,8,88,72.2,Moderate,0,81.9,35.1,29.0,32.0,26.0,248.4,Wet,No Risk
12,2025-10,122.8,8,Moderate,5,1.33,No,79,1,21.0,9,8,88,47.9,Moderate,0,70.7,30.6,27.9,31.4,24.4,120.3,Moderate,No Risk
12,2025-11,25.8,2,Dry,5,1.61,No,79,1,18.0,9,8,88,30.6,High,0,64.3,22.8,22.8,26.8,18.8,21.5,Dry,No Risk
12,2025-12,4.8,0,Dry,5,1.9,No,79,1,15.0,9,8,88,26.8,High,1,59.9,19.7,20.1,24.6,15.6,4.3,Dry,Minor
12,2026-01,13.6,1,Dry,5,2.18,No,79,1,14.0,9,8,88,28.4,High,0,59.0,19.2,19.7,24.2,15.2,12.3,Dry,No Risk
12,2026-02,25.0,2,Dry,5,2.38,No,79,1,15.0,9,8,88,30.5,Very High,0,58.4,22.6,22.8,26.8,18.8,24.5,Dry,No Risk
12,2026-03,33.3,2,Dry,5,2.56,No,79,1,16.0,9,8,88,31.9,Very High,0,59.2,26.6,26.4,29.9,22.9,36.3,Dry,No Risk
12,2026-04,45.1,3,Dry,5,2.56,No,79,1,17.0,9,8,88,34.0,Very High,0,66.8,32.7,29.2,32.7,25.7,46.3,Dry,No Risk
12,2026-05,117.2,8,Moderate,5,2.28,No,79,1,18.0,9,8,88,46.9,High,0,67.2,33.4,29.6,33.1,26.1,127.0,Moderate,No Risk
12,2026-06,307.8,21,Very Wet,5,1.71,No,79,1,21.0,9,8,88,80.8,Low,1,74.8,39.3,31.1,33.6,28.6,276.3,Wet,Minor
12,2026-07,341.3,23,Very Wet,5,1.23,No,79,1,24.0,9,8,88,86.8,Moderate,1,84.8,34.8,28.7,30.7,26.7,338.6,Very Wet,Minor
12,2026-08,348.6,23,Very Wet,5,1.04,No,79,1,25.0,9,8,88,88.1,Moderate,1,84.3,36.0,29.1,31.1,27.1,351.8,Very Wet,Minor
13,2025-09,269.9,18,Wet,6,1.32,Yes (reclaimed wetland),78,4,20.7,8,7,85,76.0,Moderate,1,84.5,33.4,28.2,31.2,25.2,232.9,Wet,Minor
13,2025-10,118.8,8,Moderate,6,1.54,Yes (reclaimed wetland),78,4,18.9,8,7,85,49.2,Moderate,0,74.9,29.7,27.2,30.7,23.7,119.0,Moderate,No Risk
13,2025-11,23.9,2,Dry,6,1.87,Yes (reclaimed wetland),78,4,16.2,8,7,85,32.3,High,0,61.6,23.2,23.2,27.2,19.2,22.0,Dry,No Risk
13,2025-12,5.1,0,Dry,6,2.2,Yes (reclaimed wetland),78,4,13.5,8,7,85,28.9,High,0,61.3,19.2,19.6,24.1,15.1,5.2,Dry,No Risk
13,2026-01,11.4,1,Dry,6,2.53,Yes (reclaimed wetland),78,4,12.6,8,7,85,30.0,High,0,58.1,19.2,19.6,24.1,15.1,10.2,Dry,No Risk
13,2026-02,22.6,2,Dry,6,2.75,Yes (reclaimed wetland),78,4,13.5,8,7,85,32.0,Very High,0,55.8,22.3,22.5,26.5,18.5,22.9,Dry,No Risk
13,2026-03,31.6,2,Dry,6,2.97,Yes (reclaimed wetland),78,4,14.4,8,7,85,33.6,Very High,0,60.1,26.7,26.4,29.9,22.9,28.2,Dry,No Risk
