Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Elevation_m,Elevation_Category,Relative_Elevation_vs_Sample_Mean_m,Flood_Vulnerability_Class_by_Elevation,Month,Season,Groundwater_Table_Depth_m,Waterlogging_Risk_from_Shallow_Table
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2025-11,Post-Monsoon,1.1,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2025-12,Winter,1.3,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2026-01,Winter,1.49,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2026-02,Winter,1.62,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2026-03,Pre-Monsoon,1.76,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2026-04,Pre-Monsoon,1.76,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2026-05,Pre-Monsoon,1.56,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2026-06,Monsoon,1.17,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2026-07,Monsoon,0.85,No
4,Kasba,South East,KMC,22.517,88.3833,3,Low,-1.67,High,2026-08,Monsoon,0.72,Yes
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2025-09,Monsoon (retreating),0.6,Yes
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2025-10,Post-Monsoon,0.7,Yes
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2025-11,Post-Monsoon,0.85,No
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2025-12,Winter,1,No
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2026-01,Winter,1.15,No
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2026-02,Winter,1.25,No
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2026-03,Pre-Monsoon,1.35,No
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2026-04,Pre-Monsoon,1.35,No
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2026-05,Pre-Monsoon,1.2,No
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2026-06,Monsoon,0.9,No
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2026-07,Monsoon,0.65,Yes
5,Topsia,East,KMC,22.539,88.39,2,Very Low,-2.67,Very High,2026-08,Monsoon,0.55,Yes
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2025-09,Monsoon (retreating),0.78,Yes
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2025-10,Post-Monsoon,0.91,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2025-11,Post-Monsoon,1.1,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2025-12,Winter,1.3,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2026-01,Winter,1.49,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2026-02,Winter,1.62,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2026-03,Pre-Monsoon,1.76,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2026-04,Pre-Monsoon,1.76,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2026-05,Pre-Monsoon,1.56,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2026-06,Monsoon,1.17,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2026-07,Monsoon,0.85,No
6,Beliaghata,East,KMC,22.558,88.395,3,Low,-1.67,High,2026-08,Monsoon,0.72,Yes
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2025-09,Monsoon (retreating),1.14,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2025-10,Post-Monsoon,1.33,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2025-11,Post-Monsoon,1.61,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2025-12,Winter,1.9,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2026-01,Winter,2.18,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2026-02,Winter,2.38,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2026-03,Pre-Monsoon,2.56,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2026-04,Pre-Monsoon,2.56,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2026-05,Pre-Monsoon,2.28,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2026-06,Monsoon,1.71,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2026-07,Monsoon,1.23,No
7,Park Circus,Central,KMC,22.547,88.369,5,Moderate,0.33,Moderate,2026-08,Monsoon,1.04,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2025-09,Monsoon (retreating),0.96,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2025-10,Post-Monsoon,1.12,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2025-11,Post-Monsoon,1.36,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2025-12,Winter,1.6,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2026-01,Winter,1.84,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2026-02,Winter,2,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2026-03,Pre-Monsoon,2.16,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2026-04,Pre-Monsoon,2.16,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2026-05,Pre-Monsoon,1.92,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2026-06,Monsoon,1.44,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2026-07,Monsoon,1.04,No
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,Low,-0.67,Moderate,2026-08,Monsoon,0.88,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2025-09,Monsoon (retreating),0.96,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2025-10,Post-Monsoon,1.12,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2025-11,Post-Monsoon,1.36,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2025-12,Winter,1.6,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2026-01,Winter,1.84,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2026-02,Winter,2,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2026-03,Pre-Monsoon,2.16,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2026-04,Pre-Monsoon,2.16,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2026-05,Pre-Monsoon,1.92,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2026-06,Monsoon,1.44,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2026-07,Monsoon,1.04,No
9,Tallah,North,KMC,22.61,88.375,4,Low,-0.67,Moderate,2026-08,Monsoon,0.88,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2025-09,Monsoon (retreating),1.32,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2025-10,Post-Monsoon,1.54,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2025-11,Post-Monsoon,1.87,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2025-12,Winter,2.2,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2026-01,Winter,2.53,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2026-02,Winter,2.75,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2026-03,Pre-Monsoon,2.97,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2026-04,Pre-Monsoon,2.97,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2026-05,Pre-Monsoon,2.64,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2026-06,Monsoon,1.98,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2026-07,Monsoon,1.43,No
10,Shyambazar,North,KMC,22.5975,88.3717,6,Moderate,1.33,Low-Moderate,2026-08,Monsoon,1.21,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2025-09,Monsoon (retreating),1.5,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2025-10,Post-Monsoon,1.75,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2025-11,Post-Monsoon,2.12,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2025-12,Winter,2.5,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2026-01,Winter,2.88,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2026-02,Winter,3.12,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2026-03,Pre-Monsoon,3.38,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2026-04,Pre-Monsoon,3.38,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2026-05,Pre-Monsoon,3,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2026-06,Monsoon,2.25,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2026-07,Monsoon,1.62,No
11,Dum Dum,North,KMC,22.642,88.4197,7,Relatively High,2.33,Low,2026-08,Monsoon,1.38,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2025-09,Monsoon (retreating),1.14,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2025-10,Post-Monsoon,1.33,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2025-11,Post-Monsoon,1.61,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2025-12,Winter,1.9,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2026-01,Winter,2.18,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2026-02,Winter,2.38,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2026-03,Pre-Monsoon,2.56,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2026-04,Pre-Monsoon,2.56,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2026-05,Pre-Monsoon,2.28,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2026-06,Monsoon,1.71,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2026-07,Monsoon,1.23,No
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,Moderate,0.33,Moderate,2026-08,Monsoon,1.04,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2025-09,Monsoon (retreating),1.32,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2025-10,Post-Monsoon,1.54,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2025-11,Post-Monsoon,1.87,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2025-12,Winter,2.2,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2026-01,Winter,2.53,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2026-02,Winter,2.75,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2026-03,Pre-Monsoon,2.97,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2026-04,Pre-Monsoon,2.97,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2026-05,Pre-Monsoon,2.64,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2026-06,Monsoon,1.98,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2026-07,Monsoon,1.43,No
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,Moderate,1.33,Low-Moderate,2026-08,Monsoon,1.21,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2025-09,Monsoon (retreating),0.6,Yes
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2025-10,Post-Monsoon,0.7,Yes
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2025-11,Post-Monsoon,0.85,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2025-12,Winter,1,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2026-01,Winter,1.15,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2026-02,Winter,1.25,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2026-03,Pre-Monsoon,1.35,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2026-04,Pre-Monsoon,1.35,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2026-05,Pre-Monsoon,1.2,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2026-06,Monsoon,0.9,No
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2026-07,Monsoon,0.65,Yes
14,Garden Reach,South West,KMC,22.533,88.307,2,Very Low,-2.67,Very High,2026-08,Monsoon,0.55,Yes
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2025-09,Monsoon (retreating),1.68,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2025-10,Post-Monsoon,1.96,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2025-11,Post-Monsoon,2.38,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2025-12,Winter,2.8,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2026-01,Winter,3.22,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2026-02,Winter,3.5,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2026-03,Pre-Monsoon,3.78,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2026-04,Pre-Monsoon,3.78,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2026-05,Pre-Monsoon,3.36,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2026-06,Monsoon,2.52,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2026-07,Monsoon,1.82,No
15,Alipore,South,KMC,22.535,88.33,8,Relatively High,3.33,Low,2026-08,Monsoon,1.54,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2025-09,Monsoon (retreating),1.32,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2025-10,Post-Monsoon,1.54,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2025-11,Post-Monsoon,1.87,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2025-12,Winter,2.2,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2026-01,Winter,2.53,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2026-02,Winter,2.75,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2026-03,Pre-Monsoon,2.97,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2026-04,Pre-Monsoon,2.97,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2026-05,Pre-Monsoon,2.64,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2026-06,Monsoon,1.98,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2026-07,Monsoon,1.43,No
16,Ballygunge,South Central,KMC,22.528,88.366,6,Moderate,1.33,Low-Moderate,2026-08,Monsoon,1.21,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2025-09,Monsoon (retreating),1.14,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2025-10,Post-Monsoon,1.33,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2025-11,Post-Monsoon,1.61,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2025-12,Winter,1.9,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2026-01,Winter,2.18,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2026-02,Winter,2.38,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2026-03,Pre-Monsoon,2.56,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2026-04,Pre-Monsoon,2.56,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2026-05,Pre-Monsoon,2.28,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2026-06,Monsoon,1.71,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2026-07,Monsoon,1.23,No
17,Maniktala,North Central,KMC,22.585,88.38,5,Moderate,0.33,Moderate,2026-08,Monsoon,1.04,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2025-09,Monsoon (retreating),0.96,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2025-10,Post-Monsoon,1.12,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2025-11,Post-Monsoon,1.36,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2025-12,Winter,1.6,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2026-01,Winter,1.84,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2026-02,Winter,2,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2026-03,Pre-Monsoon,2.16,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2026-04,Pre-Monsoon,2.16,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2026-05,Pre-Monsoon,1.92,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2026-06,Monsoon,1.44,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2026-07,Monsoon,1.04,No
18,Entally,Central East,KMC,22.562,88.37,4,Low,-0.67,Moderate,2026-08,Monsoon,0.88,No
