Ward_ID,Ward_Name,Zone,Administrative_Body,Latitude,Longitude,Elevation_m,Drainage_Index_1to10,Month,Season,Historical_Rainfall_mm,Citywide_Normal_Rainfall_mm,Deviation_from_Normal_Percent,Rainfall_Category,Estimated_Rainy_Days
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2026-05,Pre-Monsoon,110.7,121,-8.5,Moderate,7
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2026-06,Monsoon,304.2,297,2.4,Very Wet,20
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2026-07,Monsoon,298.2,337,-11.5,Wet,20
2,Tollygunge,South,KMC,22.5039,88.3423,5,6,2026-08,Monsoon,332.9,327,1.8,Very Wet,22
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2025-09,Monsoon (retreating),277.5,269,3.2,Wet,19
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2025-10,Post-Monsoon,136,122,11.4,Moderate,9
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2025-11,Post-Monsoon,21.4,24,-10.7,Dry,1
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2025-12,Winter,5.4,5,7.7,Dry,0
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2026-01,Winter,13,13,-0.2,Dry,1
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2026-02,Winter,24.7,24,3.1,Dry,2
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2026-03,Pre-Monsoon,34,34,0,Dry,2
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2026-04,Pre-Monsoon,43.4,46,-5.7,Dry,3
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2026-05,Pre-Monsoon,112.2,121,-7.3,Moderate,7
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2026-06,Monsoon,299.8,297,0.9,Wet,20
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2026-07,Monsoon,314.2,337,-6.8,Very Wet,21
3,Jadavpur,South,KMC,22.4994,88.3714,6,6,2026-08,Monsoon,338.1,327,3.4,Very Wet,23
4,Kasba,South East,KMC,22.517,88.3833,3,3,2025-09,Monsoon (retreating),287.5,269,6.9,Wet,19
4,Kasba,South East,KMC,22.517,88.3833,3,3,2025-10,Post-Monsoon,131,122,7.4,Moderate,9
4,Kasba,South East,KMC,22.517,88.3833,3,3,2025-11,Post-Monsoon,24.1,24,0.2,Dry,2
4,Kasba,South East,KMC,22.517,88.3833,3,3,2025-12,Winter,5.3,5,5.4,Dry,0
4,Kasba,South East,KMC,22.517,88.3833,3,3,2026-01,Winter,13.7,13,5.2,Dry,1
4,Kasba,South East,KMC,22.517,88.3833,3,3,2026-02,Winter,23.3,24,-2.8,Dry,2
4,Kasba,South East,KMC,22.517,88.3833,3,3,2026-03,Pre-Monsoon,36.2,34,6.5,Dry,2
4,Kasba,South East,KMC,22.517,88.3833,3,3,2026-04,Pre-Monsoon,49.5,46,7.7,Dry,3
4,Kasba,South East,KMC,22.517,88.3833,3,3,2026-05,Pre-Monsoon,141.9,121,17.3,Moderate,9
4,Kasba,South East,KMC,22.517,88.3833,3,3,2026-06,Monsoon,325.9,297,9.7,Very Wet,22
4,Kasba,South East,KMC,22.517,88.3833,3,3,2026-07,Monsoon,331.9,337,-1.5,Very Wet,22
4,Kasba,South East,KMC,22.517,88.3833,3,3,2026-08,Monsoon,349.6,327,6.9,Very Wet,23
5,Topsia,East,KMC,22.539,88.39,2,3,2025-09,Monsoon (retreating),267.7,269,-0.5,Wet,18
5,Topsia,East,KMC,22.539,88.39,2,3,2025-10,Post-Monsoon,124.9,122,2.4,Moderate,8
5,Topsia,East,KMC,22.539,88.39,2,3,2025-11,Post-Monsoon,23.2,24,-3.4,Dry,2
5,Topsia,East,KMC,22.539,88.39,2,3,2025-12,Winter,5.1,5,1.5,Dry,0
5,Topsia,East,KMC,22.539,88.39,2,3,2026-01,Winter,12.8,13,-1.3,Dry,1
5,Topsia,East,KMC,22.539,88.39,2,3,2026-02,Winter,23.2,24,-3.3,Dry,2
5,Topsia,East,KMC,22.539,88.39,2,3,2026-03,Pre-Monsoon,38.6,34,13.5,Dry,3
5,Topsia,East,KMC,22.539,88.39,2,3,2026-04,Pre-Monsoon,49.4,46,7.4,Dry,3
5,Topsia,East,KMC,22.539,88.39,2,3,2026-05,Pre-Monsoon,127.3,121,5.2,Moderate,8
5,Topsia,East,KMC,22.539,88.39,2,3,2026-06,Monsoon,274,297,-7.7,Wet,18
5,Topsia,East,KMC,22.539,88.39,2,3,2026-07,Monsoon,347.8,337,3.2,Very Wet,23
5,Topsia,East,KMC,22.539,88.39,2,3,2026-08,Monsoon,327.5,327,0.2,Very Wet,22
6,Beliaghata,East,KMC,22.558,88.395,3,4,2025-09,Monsoon (retreating),263.3,269,-2.1,Wet,18
6,Beliaghata,East,KMC,22.558,88.395,3,4,2025-10,Post-Monsoon,126.5,122,3.7,Moderate,8
6,Beliaghata,East,KMC,22.558,88.395,3,4,2025-11,Post-Monsoon,24.4,24,1.7,Dry,2
6,Beliaghata,East,KMC,22.558,88.395,3,4,2025-12,Winter,5.2,5,3.1,Dry,0
6,Beliaghata,East,KMC,22.558,88.395,3,4,2026-01,Winter,13.5,13,3.6,Dry,1
6,Beliaghata,East,KMC,22.558,88.395,3,4,2026-02,Winter,22.9,24,-4.5,Dry,2
6,Beliaghata,East,KMC,22.558,88.395,3,4,2026-03,Pre-Monsoon,35,34,2.9,Dry,2
6,Beliaghata,East,KMC,22.558,88.395,3,4,2026-04,Pre-Monsoon,47,46,2.1,Dry,3
6,Beliaghata,East,KMC,22.558,88.395,3,4,2026-05,Pre-Monsoon,118.5,121,-2.1,Moderate,8
6,Beliaghata,East,KMC,22.558,88.395,3,4,2026-06,Monsoon,310.2,297,4.4,Very Wet,21
6,Beliaghata,East,KMC,22.558,88.395,3,4,2026-07,Monsoon,353.6,337,4.9,Very Wet,24
6,Beliaghata,East,KMC,22.558,88.395,3,4,2026-08,Monsoon,316.6,327,-3.2,Very Wet,21
7,Park Circus,Central,KMC,22.547,88.369,5,5,2025-09,Monsoon (retreating),277.4,269,3.1,Wet,18
7,Park Circus,Central,KMC,22.547,88.369,5,5,2025-10,Post-Monsoon,119.1,122,-2.4,Moderate,8
7,Park Circus,Central,KMC,22.547,88.369,5,5,2025-11,Post-Monsoon,24,24,0.1,Dry,2
7,Park Circus,Central,KMC,22.547,88.369,5,5,2025-12,Winter,4.8,5,-4.6,Dry,0
7,Park Circus,Central,KMC,22.547,88.369,5,5,2026-01,Winter,12.3,13,-5,Dry,1
7,Park Circus,Central,KMC,22.547,88.369,5,5,2026-02,Winter,24.2,24,0.9,Dry,2
7,Park Circus,Central,KMC,22.547,88.369,5,5,2026-03,Pre-Monsoon,32.2,34,-5.4,Dry,2
7,Park Circus,Central,KMC,22.547,88.369,5,5,2026-04,Pre-Monsoon,44.7,46,-2.8,Dry,3
7,Park Circus,Central,KMC,22.547,88.369,5,5,2026-05,Pre-Monsoon,109.4,121,-9.6,Moderate,7
7,Park Circus,Central,KMC,22.547,88.369,5,5,2026-06,Monsoon,308.1,297,3.7,Very Wet,21
7,Park Circus,Central,KMC,22.547,88.369,5,5,2026-07,Monsoon,351.4,337,4.3,Very Wet,23
7,Park Circus,Central,KMC,22.547,88.369,5,5,2026-08,Monsoon,312.3,327,-4.5,Very Wet,21
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2025-09,Monsoon (retreating),306.8,269,14,Very Wet,20
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2025-10,Post-Monsoon,134,122,9.8,Moderate,9
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2025-11,Post-Monsoon,22.6,24,-5.7,Dry,2
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2025-12,Winter,5.1,5,2,Dry,0
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2026-01,Winter,13.5,13,3.8,Dry,1
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2026-02,Winter,25.3,24,5.6,Dry,2
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2026-03,Pre-Monsoon,34.4,34,1.1,Dry,2
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2026-04,Pre-Monsoon,44.5,46,-3.3,Dry,3
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2026-05,Pre-Monsoon,137.3,121,13.5,Moderate,9
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2026-06,Monsoon,297.5,297,0.2,Wet,20
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2026-07,Monsoon,336.4,337,-0.2,Very Wet,22
8,BBD Bagh (Esplanade),Central,KMC,22.5697,88.351,4,5,2026-08,Monsoon,326.9,327,0,Very Wet,22
9,Tallah,North,KMC,22.61,88.375,4,4,2025-09,Monsoon (retreating),270.9,269,0.7,Wet,18
9,Tallah,North,KMC,22.61,88.375,4,4,2025-10,Post-Monsoon,113.3,122,-7.2,Moderate,8
9,Tallah,North,KMC,22.61,88.375,4,4,2025-11,Post-Monsoon,24.3,24,1.5,Dry,2
9,Tallah,North,KMC,22.61,88.375,4,4,2025-12,Winter,5.2,5,4.8,Dry,0
9,Tallah,North,KMC,22.61,88.375,4,4,2026-01,Winter,13.9,13,7.1,Dry,1
9,Tallah,North,KMC,22.61,88.375,4,4,2026-02,Winter,23.6,24,-1.5,Dry,2
9,Tallah,North,KMC,22.61,88.375,4,4,2026-03,Pre-Monsoon,35.1,34,3.1,Dry,2
9,Tallah,North,KMC,22.61,88.375,4,4,2026-04,Pre-Monsoon,48.8,46,6.1,Dry,3
9,Tallah,North,KMC,22.61,88.375,4,4,2026-05,Pre-Monsoon,110.5,121,-8.7,Moderate,7
9,Tallah,North,KMC,22.61,88.375,4,4,2026-06,Monsoon,268.8,297,-9.5,Wet,18
9,Tallah,North,KMC,22.61,88.375,4,4,2026-07,Monsoon,355.2,337,5.4,Very Wet,24
9,Tallah,North,KMC,22.61,88.375,4,4,2026-08,Monsoon,332.8,327,1.8,Very Wet,22
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2025-09,Monsoon (retreating),278.3,269,3.4,Wet,19
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2025-10,Post-Monsoon,114.4,122,-6.2,Moderate,8
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2025-11,Post-Monsoon,23.8,24,-1,Dry,2
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2025-12,Winter,4.8,5,-3.9,Dry,0
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2026-01,Winter,13,13,0.2,Dry,1
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2026-02,Winter,23.1,24,-3.9,Dry,2
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2026-03,Pre-Monsoon,33.5,34,-1.4,Dry,2
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2026-04,Pre-Monsoon,39.3,46,-14.6,Dry,3
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2026-05,Pre-Monsoon,121.6,121,0.5,Moderate,8
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2026-06,Monsoon,296.9,297,0,Wet,20
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2026-07,Monsoon,333.4,337,-1.1,Very Wet,22
10,Shyambazar,North,KMC,22.5975,88.3717,6,5,2026-08,Monsoon,312.2,327,-4.5,Very Wet,21
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2025-09,Monsoon (retreating),272.8,269,1.4,Wet,18
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2025-10,Post-Monsoon,131.7,122,7.9,Moderate,9
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2025-11,Post-Monsoon,24.2,24,0.8,Dry,2
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2025-12,Winter,4.9,5,-2.2,Dry,0
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2026-01,Winter,12,13,-7.6,Dry,1
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2026-02,Winter,22.6,24,-6,Dry,2
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2026-03,Pre-Monsoon,29.6,34,-12.9,Dry,2
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2026-04,Pre-Monsoon,40.2,46,-12.6,Dry,3
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2026-05,Pre-Monsoon,115,121,-5,Moderate,8
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2026-06,Monsoon,283.4,297,-4.6,Wet,19
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2026-07,Monsoon,363.2,337,7.8,Very Wet,24
11,Dum Dum,North,KMC,22.642,88.4197,7,6,2026-08,Monsoon,318.3,327,-2.7,Very Wet,21
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2025-09,Monsoon (retreating),259.7,269,-3.4,Wet,17
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2025-10,Post-Monsoon,122.8,122,0.6,Moderate,8
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2025-11,Post-Monsoon,25.8,24,7.5,Dry,2
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2025-12,Winter,4.8,5,-4.7,Dry,0
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2026-01,Winter,13.6,13,4.3,Dry,1
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2026-02,Winter,25,24,4.3,Dry,2
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2026-03,Pre-Monsoon,33.3,34,-2.2,Dry,2
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2026-04,Pre-Monsoon,45.1,46,-1.9,Dry,3
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2026-05,Pre-Monsoon,117.2,121,-3.1,Moderate,8
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2026-06,Monsoon,307.8,297,3.6,Very Wet,21
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2026-07,Monsoon,341.3,337,1.3,Very Wet,23
12,Salt Lake (Sector V),East,Bidhannagar Municipal Corporation,22.585,88.42,5,8,2026-08,Monsoon,348.6,327,6.6,Very Wet,23
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2025-09,Monsoon (retreating),269.9,269,0.3,Wet,18
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2025-10,Post-Monsoon,118.8,122,-2.6,Moderate,8
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2025-11,Post-Monsoon,23.9,24,-0.3,Dry,2
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2025-12,Winter,5.1,5,1.3,Dry,0
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2026-01,Winter,11.4,13,-12.4,Dry,1
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2026-02,Winter,22.6,24,-5.8,Dry,2
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2026-03,Pre-Monsoon,31.6,34,-7,Dry,2
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2026-04,Pre-Monsoon,52.5,46,14.1,Moderate,3
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2026-05,Pre-Monsoon,115.1,121,-4.9,Moderate,8
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2026-06,Monsoon,280.2,297,-5.7,Wet,19
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2026-07,Monsoon,346,337,2.7,Very Wet,23
13,Rajarhat New Town,East,New Town Kolkata Development Authority (NKDA),22.62,88.47,6,7,2026-08,Monsoon,291.7,327,-10.8,Wet,19
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2025-09,Monsoon (retreating),284.1,269,5.6,Wet,19
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2025-10,Post-Monsoon,135.8,122,11.3,Moderate,9
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2025-11,Post-Monsoon,25.7,24,7.2,Dry,2
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2025-12,Winter,5.6,5,11.1,Dry,0
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2026-01,Winter,14.3,13,10.4,Dry,1
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2026-02,Winter,24.6,24,2.6,Dry,2
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2026-03,Pre-Monsoon,35.1,34,3.3,Dry,2
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2026-04,Pre-Monsoon,43.8,46,-4.8,Dry,3
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2026-05,Pre-Monsoon,122.5,121,1.3,Moderate,8
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2026-06,Monsoon,337.4,297,13.6,Very Wet,22
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2026-07,Monsoon,323.8,337,-3.9,Very Wet,22
14,Garden Reach,South West,KMC,22.533,88.307,2,3,2026-08,Monsoon,346.5,327,6,Very Wet,23
15,Alipore,South,KMC,22.535,88.33,8,7,2025-09,Monsoon (retreating),256.1,269,-4.8,Wet,17
15,Alipore,South,KMC,22.535,88.33,8,7,2025-10,Post-Monsoon,120,122,-1.7,Moderate,8
15,Alipore,South,KMC,22.535,88.33,8,7,2025-11,Post-Monsoon,22.1,24,-8.1,Dry,1
15,Alipore,South,KMC,22.535,88.33,8,7,2025-12,Winter,4.6,5,-7.8,Dry,0
15,Alipore,South,KMC,22.535,88.33,8,7,2026-01,Winter,12.6,13,-3.3,Dry,1
15,Alipore,South,KMC,22.535,88.33,8,7,2026-02,Winter,22.4,24,-6.7,Dry,1
15,Alipore,South,KMC,22.535,88.33,8,7,2026-03,Pre-Monsoon,32.1,34,-5.5,Dry,2
15,Alipore,South,KMC,22.535,88.33,8,7,2026-04,Pre-Monsoon,48.7,46,5.8,Dry,3
15,Alipore,South,KMC,22.535,88.33,8,7,2026-05,Pre-Monsoon,133.1,121,10,Moderate,9
15,Alipore,South,KMC,22.535,88.33,8,7,2026-06,Monsoon,315.1,297,6.1,Very Wet,21
15,Alipore,South,KMC,22.535,88.33,8,7,2026-07,Monsoon,337.7,337,0.2,Very Wet,23
15,Alipore,South,KMC,22.535,88.33,8,7,2026-08,Monsoon,324.4,327,-0.8,Very Wet,22
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2025-09,Monsoon (retreating),270.8,269,0.7,Wet,18
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2025-10,Post-Monsoon,120.5,122,-1.2,Moderate,8
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2025-11,Post-Monsoon,23.2,24,-3.3,Dry,2
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2025-12,Winter,5,5,0.1,Dry,0
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2026-01,Winter,13.6,13,4.8,Dry,1
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2026-02,Winter,21.5,24,-10.5,Dry,1
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2026-03,Pre-Monsoon,32.4,34,-4.8,Dry,2
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2026-04,Pre-Monsoon,43.9,46,-4.5,Dry,3
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2026-05,Pre-Monsoon,110,121,-9.1,Moderate,7
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2026-06,Monsoon,273.8,297,-7.8,Wet,18
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2026-07,Monsoon,327.1,337,-2.9,Very Wet,22
16,Ballygunge,South Central,KMC,22.528,88.366,6,7,2026-08,Monsoon,343.7,327,5.1,Very Wet,23
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2025-09,Monsoon (retreating),279.4,269,3.9,Wet,19
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2025-10,Post-Monsoon,132.5,122,8.6,Moderate,9
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2025-11,Post-Monsoon,24.2,24,0.8,Dry,2
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2025-12,Winter,4.4,5,-11.3,Dry,0
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2026-01,Winter,13.6,13,4.7,Dry,1
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2026-02,Winter,22.3,24,-7,Dry,1
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2026-03,Pre-Monsoon,34.4,34,1.3,Dry,2
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2026-04,Pre-Monsoon,45.2,46,-1.7,Dry,3
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2026-05,Pre-Monsoon,131.2,121,8.4,Moderate,9
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2026-06,Monsoon,304,297,2.4,Very Wet,20
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2026-07,Monsoon,363.6,337,7.9,Very Wet,24
17,Maniktala,North Central,KMC,22.585,88.38,5,5,2026-08,Monsoon,330.9,327,1.2,Very Wet,22
18,Entally,Central East,KMC,22.562,88.37,4,4,2025-09,Monsoon (retreating),281.6,269,4.7,Wet,19
18,Entally,Central East,KMC,22.562,88.37,4,4,2025-10,Post-Monsoon,127.1,122,4.2,Moderate,8
18,Entally,Central East,KMC,22.562,88.37,4,4,2025-11,Post-Monsoon,24,24,-0.1,Dry,2
18,Entally,Central East,KMC,22.562,88.37,4,4,2025-12,Winter,5.6,5,11.1,Dry,0
18,Entally,Central East,KMC,22.562,88.37,4,4,2026-01,Winter,14.5,13,11.8,Dry,1
18,Entally,Central East,KMC,22.562,88.37,4,4,2026-02,Winter,25.7,24,6.9,Dry,2
18,Entally,Central East,KMC,22.562,88.37,4,4,2026-03,Pre-Monsoon,33.2,34,-2.3,Dry,2
18,Entally,Central East,KMC,22.562,88.37,4,4,2026-04,Pre-Monsoon,44.8,46,-2.6,Dry,3
18,Entally,Central East,KMC,22.562,88.37,4,4,2026-05,Pre-Monsoon,128.5,121,6.2,Moderate,9
18,Entally,Central East,KMC,22.562,88.37,4,4,2026-06,Monsoon,281.2,297,-5.3,Wet,19
18,Entally,Central East,KMC,22.562,88.37,4,4,2026-07,Monsoon,341.1,337,1.2,Very Wet,23
18,Entally,Central East,KMC,22.562,88.37,4,4,2026-08,Monsoon,322.1,327,-1.5,Very Wet,21
